script,title,link
中国外交部.py,王毅会见土库曼斯坦副总理兼外长梅列多夫,https://www.fmprc.gov.cn/wjbzhd/202603/t20260318_11876768.shtml
中国外交部.py,王毅会见土库曼斯坦副总理兼外长梅列多夫,https://www.fmprc.gov.cn/wjdt_674879/gjldrhd_674881/202603/t20260318_11876768.shtml
中国外交部.py,王毅会见土库曼斯坦副总理兼外长梅列多夫,https://www.fmprc.gov.cn/wjdt_674879/wjbxw_674885/202603/t20260318_11876768.shtml
中国外交部.py,中国政府中东问题特使翟隽会见埃及外长阿卜杜勒阿提,https://www.fmprc.gov.cn/wjdt_674879/sjxw_674887/202603/t20260318_11876715.shtml
中国外交部.py,中国政府中东问题特使翟隽会见阿盟秘书长盖特,https://www.fmprc.gov.cn/wjdt_674879/sjxw_674887/202603/t20260318_11876714.shtml
中国外交部.py,驻荷兰大使兼常驻禁止化学武器组织代表申博在禁化武组织第111届执理会一般性辩论中的发言,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202603/t20260318_11876756.shtml
中国外交部.py,驻几内亚比绍大使杨仁火会见几比前总统瓦斯,https://www.fmprc.gov.cn/wjdt_674879/zwbd_674895/202603/t20260318_11876762.shtml
中国外交部.py,驻几内亚比绍大使杨仁火会见几比前总统瓦斯,https://www.fmprc.gov.cn/zwbd_673032/wshd_673034/202603/t20260318_11876762.shtml
中国外交部.py,驻荷兰大使兼常驻禁止化学武器组织代表申博在禁化武组织第111届执理会一般性辩论中的发言,https://www.fmprc.gov.cn/zwbd_673032/wjzs/202603/t20260318_11876756.shtml
国际海事组织.py,,
世界贸易组织.py,,
日本外务省.py,Courtesy Call on Parliamentary Vice-Minister for Foreign Affairs SHIMADA by AI Policy Officials from the Global South,https://www.mofa.go.jp/press/release/pressite_000001_02190.html
联合国海洋法庭.py,,
国际海底管理局.py,,
战略与国际研究中心.py,Energy Dominance and the Defense Industrial Base,https://www.csis.org/events/energy-dominance-and-defense-industrial-base
战略与国际研究中心.py,Strategic Japan 2026: Countering Challenges from Autocratic Powers,https://www.csis.org/events/strategic-japan-2026-countering-challenges-autocratic-powers
战略与国际研究中心.py,Energy Dominance and the Defense Industrial Base,https://www.csis.org/events/energy-dominance-and-defense-industrial-base
战略与国际研究中心.py,The Impossible State Live Podcast: Is the Pivot to Asia Dead?,https://www.csis.org/events/impossible-state-live-podcast-pivot-asia-dead
战略与国际研究中心.py,"Estonia, European Defense, and the Evolving Eastern Flank",https://www.csis.org/events/estonia-european-defense-and-evolving-eastern-flank
战略与国际研究中心.py,Energy Dominance and the Defense Industrial Base,https://www.csis.org/events/energy-dominance-and-defense-industrial-base
战略与国际研究中心.py,Strategic Japan 2026: Countering Challenges from Autocratic Powers,https://www.csis.org/events/strategic-japan-2026-countering-challenges-autocratic-powers
战略与国际研究中心.py,The Impossible State Live Podcast: Is the Pivot to Asia Dead?,https://www.csis.org/events/impossible-state-live-podcast-pivot-asia-dead
战略与国际研究中心.py,"Estonia, European Defense, and the Evolving Eastern Flank",https://www.csis.org/events/estonia-european-defense-and-evolving-eastern-flank
美国国务院.py,,
美国运输部海事管理局.py,,
中国海事局.py,,
日本海上保安大学校.py,,
日本海上保安厅.py,SAPPHIRE26日米海上保安機関長官級会合の開催について～「自由で開かれたインド太平洋（FOIP）」の実現に向けた連携を強化～,https://www.kaiho.mlit.go.jp/info/kouhou/post-1295.html
太平洋岛国论坛.py,"RELEASE: Pacific Islands Forum Secretary General Pays Tribute to Former SG, Sir Noel Levi",https://forumsec.org/publications/release-pacific-islands-forum-secretary-general-pays-tribute-former-sg-sir-noel-levi
越南外交部.py,,
越南外交学院.py,,
中国国际电视台官微.py,,
南海之声.py,,
